rank,position,player,cbp,cbp_90,played_games,goals,assists,team,source_url,scorer_score
6,DF,辻岡　佑真,12.09,1.16,13,2,1,fuku,https://www.football-lab.jp/fuku/ranking,0.33944615384615384
7,DF,岡　哲平,11.76,0.78,16,1,0,fuku,https://www.football-lab.jp/fuku/ranking,0.17480000000000004
8,FW,藤本　一輝,11.0,1.37,14,1,0,fuku,https://www.football-lab.jp/fuku/ranking,0.41451428571428567
9,MF,北島　祐二,10.68,1.51,17,0,1,fuku,https://www.football-lab.jp/fuku/ranking,0.3314117647058824
10,MF,奥野　耕平,7.69,1.14,13,0,0,fuku,https://www.football-lab.jp/fuku/ranking,0.22799999999999998
1,MF,長谷川　元希,17.55,1.38,15,1,2,ngsk,https://www.football-lab.jp/ngsk/ranking,0.4093333333333333
2,MF,山口　蛍,16.59,1.1,16,0,0,ngsk,https://www.football-lab.jp/ngsk/ranking,0.22000000000000003
3,DF,米田　隼也,15.72,1.29,15,0,1,ngsk,https://www.football-lab.jp/ngsk/ranking,0.23306666666666667
4,MF,マテウス　ジェズス,15.54,1.4,14,6,2,ngsk,https://www.football-lab.jp/ngsk/ranking,0.78
5,MF,翁長　聖,12.64,1.04,16,0,0,ngsk,https://www.football-lab.jp/ngsk/ranking,0.20800000000000002
6,FW,ノーマン　キャンベル,12.43,1.8,13,2,2,ngsk,https://www.football-lab.jp/ngsk/ranking,0.708923076923077
7,MF,ディエゴ　ピトゥカ,10.27,1.49,13,0,0,ngsk,https://www.football-lab.jp/ngsk/ranking,0.298
8,MF,山田　陸,9.19,1.32,11,0,1,ngsk,https://www.football-lab.jp/ngsk/ranking,0.3094545454545455
9,FW,チアゴ　サンタナ,8.42,0.93,13,6,0,ngsk,https://www.football-lab.jp/ngsk/ranking,0.7770461538461539
10,DF,江川　湧清,7.93,0.92,9,0,0,ngsk,https://www.football-lab.jp/ngsk/ranking,0.14720000000000003
