Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,Year
アビスパ福岡,14.0,9.0,4.0,7.0,4.0,5.0,3.0,6.0,6.0,7.0,5.0,7.0,9.0,9.0,10.0,11.0,11.0,12.0,12.0,12.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,,,,,2023
アルビレックス新潟,7.0,6.0,7.0,3.0,8.0,12.0,11.0,8.0,10.0,13.0,13.0,14.0,12.0,13.0,13.0,13.0,13.0,15.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,14.0,11.0,11.0,10.0,10.0,10.0,10.0,,,,,2023
ガンバ大阪,7.0,10.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,15.0,15.0,14.0,15.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,11.0,13.0,13.0,14.0,15.0,16.0,16.0,,,,,2023
サガン鳥栖,18.0,16.0,10.0,15.0,15.0,14.0,15.0,14.0,12.0,15.0,15.0,12.0,13.0,12.0,12.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,11.0,12.0,12.0,13.0,12.0,15.0,12.0,12.0,12.0,12.0,13.0,14.0,,,,,2023
サンフレッチェ広島,11.0,14.0,14.0,12.0,9.0,4.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,5.0,6.0,4.0,5.0,6.0,7.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,3.0,3.0,,,,,2023
セレッソ大阪,7.0,12.0,17.0,13.0,13.0,10.0,12.0,9.0,7.0,8.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,7.0,7.0,6.0,7.0,8.0,9.0,,,,,2023
チーム ╲ 節,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
ヴィッセル神戸,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,2023
京都サンガF.C.,16.0,17.0,11.0,8.0,5.0,7.0,10.0,7.0,9.0,11.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,13.0,15.0,15.0,15.0,14.0,14.0,13.0,,,,,2023
北海道コンサドーレ札幌,11.0,15.0,15.0,11.0,11.0,15.0,9.0,12.0,14.0,10.0,11.0,10.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,10.0,11.0,13.0,13.0,13.0,13.0,12.0,13.0,12.0,14.0,14.0,13.0,13.0,11.0,12.0,,,,,2023
名古屋グランパス,5.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,4.0,5.0,5.0,5.0,6.0,,,,,2023
川崎フロンターレ,13.0,8.0,8.0,14.0,14.0,10.0,13.0,13.0,15.0,12.0,10.0,6.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,,,,,2023
柏レイソル,7.0,10.0,13.0,16.0,17.0,18.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,15.0,15.0,17.0,18.0,16.0,17.0,16.0,17.0,17.0,16.0,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,,,,,2023
横浜FC,14.0,13.0,18.0,18.0,18.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,16.0,16.0,18.0,16.0,17.0,16.0,17.0,16.0,16.0,17.0,17.0,16.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,2023
横浜F・マリノス,4.0,1.0,2.0,6.0,3.0,6.0,5.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,2023
浦和レッズ,16.0,18.0,12.0,9.0,6.0,3.0,6.0,4.0,4.0,5.0,6.0,8.0,6.0,8.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,,,,2023
