match_id,section,match_date,feature_source,feature_as_of,feature_snapshot_path,fallback_reason
2026_special-100yj1-12-mcd-vs-tk-v,12,2026-05-13,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-mito-vs-tk-v,17,2026-05-16,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-uraw-vs-FCtk,17,2026-05-16,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-y-fm-vs-kasw,17,2026-05-16,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-ngsk-vs-kobe,17,2026-05-17,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-chib-vs-kasm,17,2026-05-17,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-okay-vs-shim,17,2026-05-17,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-c-os-vs-nago,17,2026-05-17,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-kyot-vs-hiro,17,2026-05-17,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-17-ka-f-vs-mcd,17,2026-05-17,fallback_rebuilt,,,no_point_in_time_snapshot
2026_special-100yj1-18-mcd-vs-uraw,18,2026-05-22,fallback_rebuilt,,,no_point_in_time_snapshot
