column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Away_Prev_Right Attack Index,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Short Counter,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Long Counter,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_Opponent Area Possession,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Prev_My Area Possession,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Home_Season_Progress,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Home_Urgency_Score,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 10}"
Away_Season_Progress,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Away_Urgency_Score,11,0,11,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 9}"
Backline_Matchup_3_vs_3,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Backline_Matchup_3_vs_4,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Backline_Matchup_4_vs_3,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Backline_Matchup_4_vs_4,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Home_Formation_3-1-4-2,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Home_Formation_3-3-2-2,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Home_Formation_3-4-2-1,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Home_Formation_4-1-2-3,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Home_Formation_4-2-1-3,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Home_Formation_4-2-3-1,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Home_Formation_4-4-2,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Away_Formation_3-1-4-2,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Away_Formation_3-3-2-2,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Away_Formation_3-4-2-1,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Away_Formation_4-1-2-3,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Away_Formation_4-2-1-3,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Away_Formation_4-2-3-1,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
Away_Formation_4-4-2,11,0,0,0.0,0.0,model_fill_zero,"{""model_fill_zero"": 11}"
season,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
league,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
competition,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
category,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
section,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
match_date,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
kickoff_time,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
home_team,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
away_team,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
status,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
match_id,11,11,0,1.0,0.0,actual_schedule,"{""actual_schedule"": 11}"
